id,title,title_local,year,venue,status,source_type,primary_route,routes,level,tier,evidence_level,paper_url,doi,code_url,project_url,data_url,figure_url,source_note
diversity-collapse,Diversity Collapse in Multi-Agent LLM Systems: Structural Coupling and Collective Failure in Open-Ended Idea Generation,多智能体大模型系统中的多样性崩塌,2026,Findings of ACL 2026,peer-reviewed,paper,knowledge-ideation,knowledge-ideation|evaluation-governance,0,core,A,https://aclanthology.org/2026.findings-acl.13/,10.18653/v1/2026.findings-acl.13,,,,,"核验 Findings of ACL 2026 正式全文的 1,000 次方案生成、人工多样性核验、拓扑与规模消融。"
papermind,PAPERMIND: Benchmarking Agentic Reasoning and Critique over Scientific Papers in Multimodal LLMs,PAPERMIND：多模态模型对科学论文的智能体推理与批判基准,2026,Findings of ACL 2026,peer-reviewed,benchmark,knowledge-ideation,knowledge-ideation|evaluation-governance,0,bridge,A,https://aclanthology.org/2026.findings-acl.508/,10.18653/v1/2026.findings-acl.508,,,,,核验 Findings of ACL 2026 正式全文；arXiv:2604.21304v2 合并到正式版本族。
llm-novel-ideas,Can LLMs Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers,大模型能否生成新颖研究想法：百余名自然语言处理研究者的盲评,2025,ICLR 2025,peer-reviewed,paper,knowledge-ideation,knowledge-ideation|evaluation-governance,0,core,A,https://openreview.net/forum?id=M23dTGWCZy,,https://github.com/NoviScl/AI-Researcher,,,,核验 ICLR 2025 正式论文 PDF、百余名研究者盲评设计与多样性分析；主入口使用正确的 OpenReview 会刊记录。
scimon,SciMON: Scientific Inspiration Machines Optimized for Novelty,SciMON：面向新颖性的科学灵感生成,2024,ACL 2024,peer-reviewed,paper,knowledge-ideation,knowledge-ideation,0,core,A,https://aclanthology.org/2024.acl-long.18/,10.18653/v1/2024.acl-long.18,https://github.com/eaglew/clbd,,,,核验 ACL Anthology 正式论文页、摘要、元数据与代码入口。
researchagent,ResearchAgent: Iterative Research Idea Generation over Scientific Literature with Large Language Models,ResearchAgent：基于科学文献的迭代研究构想生成,2025,NAACL 2025,peer-reviewed,paper,knowledge-ideation,knowledge-ideation|paradigm-orchestration,1,core,A,https://aclanthology.org/2025.naacl-long.342/,10.18653/v1/2025.naacl-long.342,,,,,核验 NAACL 2025 正式全文的系统流程、人工与模型评价、消融和局限。
autoresearch-ai-survey,AutoResearch AI: Towards AI-Powered Research Automation for Scientific Discovery,AutoResearch AI：面向科学发现的人工智能科研自动化,2026,arXiv,preprint,survey,paradigm-orchestration,paradigm-orchestration|evaluation-governance,0,background,C,https://arxiv.org/abs/2605.23204,,,,,,核验 arXiv 摘要、范围定义与工作流条件；作为背景而非能力证据。
ai-scientist-nature,Towards end-to-end automation of AI research,迈向人工智能研究的端到端自动化,2026,Nature,peer-reviewed,paper,paradigm-orchestration,paradigm-orchestration|ml-research-loop|evaluation-governance,2,core,A,https://www.nature.com/articles/s41586-026-10265-5,10.1038/s41586-026-10265-5,,,,,"核验 Nature 651, 914–919 正式全文、投稿评审事件序列与 DOI；合并 The AI Scientist v1/v2 版本族。"
agent-laboratory,Agent Laboratory: Using LLM Agents as Research Assistants,Agent Laboratory：用大模型智能体辅助研究,2025,Findings of EMNLP 2025,peer-reviewed,paper,paradigm-orchestration,paradigm-orchestration|ml-research-loop,2,core,A,https://aclanthology.org/2025.findings-emnlp.320/,,https://github.com/SamuelSchmidgall/AgentLaboratory,,,,核验 EMNLP 2025 Findings 正式全文的自主评价、共驾反馈、成本估算和局限；以正式版本合并早期 arXiv 记录。
data-to-paper,Autonomous LLM-Driven Research — from Data to Human-Verifiable Research Papers,大模型驱动的自主研究：从数据到可供人类核验的论文,2025,NEJM AI,peer-reviewed,paper,paradigm-orchestration,paradigm-orchestration|domain-discovery,2,core,A,https://doi.org/10.1056/AIoa2400555,10.1056/AIoa2400555,,,,,工作版本族核验：NEJM AI 正式 DOI 页确认摘要、正式状态与核心数字；V3 正文位置来自作者 arXiv:2404.17605v1，正式版 PDF 本轮未直接打开。
era-nature,An AI system to help scientists write expert-level empirical software,帮助科学家编写专家级实证软件的人工智能系统,2026,Nature,peer-reviewed,paper,ml-research-loop,ml-research-loop|domain-discovery|evaluation-governance,2,core,A,https://www.nature.com/articles/s41586-026-10658-6,10.1038/s41586-026-10658-6,https://github.com/google-research/era,,,,"核验 Nature 654, 909–916 正式全文的树搜索、单细胞留出评价与科学发现边界；与独立泄漏复核交叉阅读。"
