candidate_id,title,decision,reason_code,canonical_id,source_url,checked_at,notes
scimon,SciMON: Scientific Inspiration Machines Optimized for Novelty,纳入,满足操作定义且有独立信息增量,scimon,https://aclanthology.org/2024.acl-long.18/,2026-08-09,核验 ACL Anthology 正式论文页、摘要、元数据与代码入口。
llm-novel-ideas,Can LLMs Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers,纳入,满足操作定义且有独立信息增量,llm-novel-ideas,https://openreview.net/forum?id=M23dTGWCZy,2026-08-09,核验 ICLR 2025 正式论文 PDF 与研究设计；主入口使用正确的 OpenReview 会刊记录。
researchagent,ResearchAgent: Iterative Research Idea Generation over Scientific Literature with Large Language Models,纳入,满足操作定义且有独立信息增量,researchagent,https://aclanthology.org/2025.naacl-long.342/,2026-08-09,核验 NAACL 2025 正式论文页、摘要和出版元数据。
diversity-collapse,Diversity Collapse in Multi-Agent LLM Systems,纳入,满足操作定义且有独立信息增量,diversity-collapse,https://aclanthology.org/2026.findings-acl.13/,2026-08-09,核验 ACL Anthology 正式论文页、摘要与 DOI。
autoresearch-ai-survey,AutoResearch AI: Towards AI-Powered Research Automation for Scientific Discovery,纳入,满足操作定义且有独立信息增量,autoresearch-ai-survey,https://arxiv.org/abs/2605.23204,2026-08-09,核验 arXiv 摘要、范围定义与工作流条件；作为背景而非能力证据。
data-to-paper,Autonomous LLM-Driven Research — from Data to Human-Verifiable Research Papers,纳入,满足操作定义且有独立信息增量,data-to-paper,https://doi.org/10.1056/AIoa2400555,2026-08-09,核验 NEJM AI 正式 DOI 入口、摘要与适用范围。
agent-laboratory,Agent Laboratory: Using LLM Agents as Research Assistants,纳入,满足操作定义且有独立信息增量,agent-laboratory,https://aclanthology.org/2025.findings-emnlp.320/,2026-08-09,核验 EMNLP 2025 Findings 正式版本；以正式版本合并早期 arXiv 记录。
ai-scientist-nature,Towards end-to-end automation of AI research,纳入,满足操作定义且有独立信息增量,ai-scientist-nature,https://www.nature.com/articles/s41586-026-10265-5,2026-08-09,"核验 Nature 651, 914–919 正式全文与 DOI；合并 The AI Scientist v1/v2 版本族。"
mlagentbench,MLAgentBench: Evaluating Language Agents on Machine Learning Experimentation,纳入,满足操作定义且有独立信息增量,mlagentbench,https://proceedings.mlr.press/v235/huang24y.html,2026-08-09,核验 ICML 2024 PMLR 正式论文页、任务数、成功率与代码。
aide-code-search,AIDE: AI-Driven Exploration in the Space of Code,纳入,满足操作定义且有独立信息增量,aide-code-search,https://arxiv.org/abs/2502.13138,2026-08-09,核验 arXiv 摘要与官方代码入口；结论保持为作者报告。
alphaevolve,AlphaEvolve: A coding agent for scientific and algorithmic discovery,纳入,满足操作定义且有独立信息增量,alphaevolve,https://arxiv.org/abs/2506.13131,2026-08-09,核验 arXiv 技术报告与 Google DeepMind 官方项目说明；未经过同行评议。
karpathy-autoresearch,karpathy/autoresearch,纳入,满足操作定义且有独立信息增量,karpathy-autoresearch,https://github.com/karpathy/autoresearch,2026-08-09,核验官方仓库 README、program.md、训练约束和许可证。
era-nature,An AI system to help scientists write expert-level empirical software,纳入,满足操作定义且有独立信息增量,era-nature,https://www.nature.com/articles/s41586-026-10658-6,2026-08-09,"核验 Nature 654, 909–916 正式全文；与独立泄漏复核交叉阅读。"
specialist-autoresearch,Auto Research with Specialist Agents Develops Effective and Non-Trivial Training Recipes,纳入,满足操作定义且有独立信息增量,specialist-autoresearch,https://arxiv.org/abs/2605.05724,2026-08-09,核验 arXiv 摘要、实验规模与审计轨迹描述；保持预印本置信度。
bilevel-autoresearch,Bilevel Autoresearch: Meta-Autoresearching Itself,纳入,满足操作定义且有独立信息增量,bilevel-autoresearch,https://arxiv.org/abs/2603.23420,2026-08-09,核验 arXiv 全文的双层机制与单基准限制。
popper,Automated Hypothesis Validation with Agentic Sequential Falsifications,纳入,满足操作定义且有独立信息增量,popper,https://proceedings.mlr.press/v267/huang25n.html,2026-08-09,核验 ICML 2025 PMLR 正式论文页、六领域范围与时间比较。
moose-chem,MOOSE-Chem: Large Language Models for Rediscovering Unseen Chemistry Scientific Hypotheses,纳入,满足操作定义且有独立信息增量,moose-chem,https://openreview.net/forum?id=X9OfMNNepI,2026-08-09,以 ICLR 2025 主会论文为规范版本；AI4X 2025 页面仅作后续展示版本关联。
virtual-lab,The Virtual Lab of AI agents designs new SARS-CoV-2 nanobodies,纳入,满足操作定义且有独立信息增量,virtual-lab,https://www.nature.com/articles/s41586-025-09442-9,2026-08-09,"核验 Nature 646, 716–723 正式论文页、候选数与实验结果。"
google-co-scientist,Accelerating scientific discovery with Co-Scientist,纳入,满足操作定义且有独立信息增量,google-co-scientist,https://www.nature.com/articles/s41586-026-10644-y,2026-08-09,"核验 Nature 655, 487–496 正式全文与 DOI；以正式版本合并早期预印本。"
robin,A multi-agent system for automating scientific discovery,纳入,满足操作定义且有独立信息增量,robin,https://www.nature.com/articles/s41586-026-10652-y,2026-08-09,"核验 Nature 655, 497–505 正式全文与 DOI。"
molecular-auto-research,Closed-loop Auto Research for Molecular Property Prediction,纳入,满足操作定义且有独立信息增量,molecular-auto-research,https://arxiv.org/abs/2606.22731,2026-08-09,核验 arXiv 全文中的端点数、验证—测试差距与 AutoML 对照。
materials-auto-research,Auto Research for Materials: Auditable AI-Scientist Workflows with Held-Out Transfer,纳入,满足操作定义且有独立信息增量,materials-auto-research,https://arxiv.org/abs/2607.17100,2026-08-09,核验 arXiv 摘要、实验数量、留出协议与限制。
robot-scientist-adam,The automation of science,纳入,满足操作定义且有独立信息增量,robot-scientist-adam,https://www.science.org/doi/10.1126/science.1165620,2026-08-09,核验 Science DOI 与 Warwick 机构库摘要、测量规模和人工确认。
robot-scientist-eve,Cheaper faster drug development validated by the repositioning of drugs against neglected tropical diseases,纳入,满足操作定义且有独立信息增量,robot-scientist-eve,https://doi.org/10.1098/rsif.2014.1289,2026-08-09,核验 Royal Society DOI、机构库全文与作者元数据。
mobile-robotic-chemist,A mobile robotic chemist,纳入,满足操作定义且有独立信息增量,mobile-robotic-chemist,https://www.nature.com/articles/s41586-020-2442-2,2026-08-09,"核验 Nature 583, 237–241 正式论文与 DOI。"
a-lab,An autonomous laboratory for the accelerated synthesis of inorganic materials,纳入,满足操作定义且有独立信息增量,a-lab,https://www.nature.com/articles/s41586-023-06734-w,2026-08-09,联合核验 Nature 正式全文、Nature 出版更正及外部同行评议反证；按一个证据版本族计数。
coscientist-chemistry,Autonomous chemical research with large language models,纳入,满足操作定义且有独立信息增量,coscientist-chemistry,https://www.nature.com/articles/s41586-023-06792-0,2026-08-09,"核验 Nature 624, 570–578 正式全文、设备流程与安全披露。"
sample-protein-lab,Self-driving laboratories to autonomously navigate the protein fitness landscape,纳入,满足操作定义且有独立信息增量,sample-protein-lab,https://www.nature.com/articles/s44286-023-00002-4,2026-08-09,核验 Nature Chemical Engineering 正式全文、数据与代码入口。
discoveryworld,DiscoveryWorld: A Virtual Environment for Developing and Evaluating Automated Scientific Discovery Agents,纳入,满足操作定义且有独立信息增量,discoveryworld,https://proceedings.neurips.cc/paper_files/paper/2024/hash/13836f251823945316ae067350a5c366-Abstract-Datasets_and_Benchmarks_Track.html,2026-08-09,核验 NeurIPS 2024 正式基准页、任务数与评价维度。
corebench,CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,纳入,满足操作定义且有独立信息增量,corebench,https://openreview.net/forum?id=BsMMc4MEGS,2026-08-09,核验 TMLR OpenReview 正式记录、90 篇论文和 270 项任务。
rebench,RE-Bench: Evaluating frontier AI R&D capabilities of language model agents against human experts,纳入,满足操作定义且有独立信息增量,rebench,https://proceedings.mlr.press/v267/wijk25a.html,2026-08-09,核验 ICML 2025 PMLR 正式论文页、人类样本与时间比较。
mlebench,MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering,纳入,满足操作定义且有独立信息增量,mlebench,https://proceedings.iclr.cc/paper_files/paper/2025/hash/7e3767db483c942b883eb4f8cfb74e31-Abstract-Conference.html,2026-08-09,核验 ICLR 2025 正式论文页、75 个竞赛与 16.9% 结果。
mlrbench,MLR-Bench: Evaluating AI Agents on Open-Ended Machine Learning Research,纳入,满足操作定义且有独立信息增量,mlrbench,https://papers.nips.cc/paper_files/paper/2025/hash/ab8dd000d6f87f40061a73f8bca7fae4-Abstract-Datasets_and_Benchmarks_Track.html,2026-08-09,核验 NeurIPS 2025 正文；区分 201 项框架与实际执行 10 项，Claude Code 为 8/10 无效。
paperbench,PaperBench: Evaluating AI's Ability to Replicate AI Research,纳入,满足操作定义且有独立信息增量,paperbench,https://proceedings.mlr.press/v267/starace25a.html,2026-08-09,核验 ICML 2025 PMLR 正式论文页、量表数量和人机比较。
rexbench,RExBench: Can coding agents autonomously implement AI research extensions?,纳入,满足操作定义且有独立信息增量,rexbench,https://aclanthology.org/2026.acl-long.745/,2026-08-09,核验 ACL 2026 正文与附录；12 项任务、12 个代理及主实验和新模型提示设置分别报告。
autoexperiment,From Reproduction to Replication: Evaluating Research Agents with Progressive Code Masking,纳入,满足操作定义且有独立信息增量,autoexperiment,https://iclr.cc/virtual/2026/poster/10007273,2026-08-09,核验 ICLR 2026 正式版本；AUTOEXPERIMENT 作为系统或基准别名保留。
inquitree,InquiTree: A Benchmark for Long-Horizon Scientific Inquiry,纳入,满足操作定义且有独立信息增量,inquitree,https://arxiv.org/abs/2606.09550,2026-08-09,核验 arXiv 摘要、基准规模与时间留出设计。
era-data-leakage,Information leakage from data revisions in retrospective forecasts,纳入,满足操作定义且有独立信息增量,era-data-leakage,https://arxiv.org/abs/2608.05883,2026-08-09,核验 2026-08-06 arXiv 全文、表 1 与对后续前瞻结果的限定。
labsafety-bench,Benchmarking large language models on safety risks in scientific laboratories,纳入,满足操作定义且有独立信息增量,labsafety-bench,https://www.nature.com/articles/s42256-025-01152-1,2026-08-09,核验 Nature Machine Intelligence 正式论文页、题目规模和模型结果。
risks-ai-scientists,Risks of AI scientists: prioritizing safeguarding over autonomy,纳入,满足操作定义且有独立信息增量,risks-ai-scientists,https://www.nature.com/articles/s41467-025-63913-1,2026-08-09,"核验 Nature Communications 16, 8317 正式全文与 DOI。"
illusions-understanding,Artificial intelligence and illusions of understanding in scientific research,纳入,满足操作定义且有独立信息增量,illusions-understanding,https://www.nature.com/articles/s41586-024-07146-0,2026-08-09,"核验 Nature 627, 49–58 正式全文、论点与 DOI。"
traditional-automl,传统 AutoML 与超参数优化综述,范围外,传统优化器没有语义科研决策或跨阶段闭环,,https://www.automl.org/,2026-08-09,跨路线去重与饱和筛选
nas,传统神经架构搜索,范围外,在预定义空间优化，不单独构成 Auto-Research,,https://arxiv.org/abs/1808.05377,2026-08-09,跨路线去重与饱和筛选
deep-research-tools,普通 Deep Research 报告工具,范围外,只做网络检索与报告，未执行科研实验,,https://openai.com/index/introducing-deep-research/,2026-08-09,跨路线去重与饱和筛选
futurehouse-researcherbench,ResearcherBench,候补,侧重检索报告，不能代表完整科学闭环,,https://arxiv.org/abs/2508.08900,2026-08-09,跨路线去重与饱和筛选
ai-scientist-v1,The AI Scientist v1,合并,早期预印本已被 2026 Nature 正式版本覆盖,ai-scientist-nature,https://arxiv.org/abs/2408.06292,2026-08-09,跨路线去重与饱和筛选
ai-scientist-v2,The AI Scientist-v2,合并,树搜索版本已被 2026 Nature 正式版本族覆盖,ai-scientist-nature,https://arxiv.org/abs/2504.08066,2026-08-09,跨路线去重与饱和筛选
agent-laboratory-arxiv,Agent Laboratory arXiv,合并,采用 Findings of EMNLP 2025 正式版本,agent-laboratory,https://arxiv.org/abs/2501.04227,2026-08-09,跨路线去重与饱和筛选
co-scientist-preprint,Google Co-Scientist 预印本,合并,采用 2026 Nature 正式版本,google-co-scientist,https://arxiv.org/abs/2502.18864,2026-08-09,跨路线去重与饱和筛选
a-lab-correction,A-Lab Nature 出版更正,合并,更正属于同一证据版本族，限制已写入主记录,a-lab,https://www.nature.com/articles/s41586-025-09992-y,2026-08-09,采用更正后 36/57 口径并收窄新颖性定义
a-lab-critique,A-Lab 新颖性与结构判读外部反证,合并,同行评议反证写入同一证据版本族，不重复计数,a-lab,https://journals.aps.org/prxenergy/abstract/10.1103/PRXEnergy.3.011002,2026-08-09,与 Nature 出版更正和主论文联合审计
crispr-gpt,CRISPR-GPT,候补,生成方案后由人类执行，且信息增量已由领域人审路线覆盖,virtual-lab,https://www.nature.com/articles/s41551-023-01077-9,2026-08-09,跨路线去重与饱和筛选
genesis,Genesis systems biology robot scientist,证据不足,主要是未来系统设计与能力规划，未完成公开闭环验证,robot-scientist-adam,https://arxiv.org/abs/2408.10689,2026-08-09,跨路线去重与饱和筛选
funsearch,FunSearch,代表性折叠,可验证算法发现前驱，由更广的 AlphaEvolve 代表该机制路线,alphaevolve,https://www.nature.com/articles/s41586-023-06924-6,2026-08-09,跨路线去重与饱和筛选
auto-research-roadmap,Auto-Research Roadmap survey,重复,与 AutoResearch AI 范围高度重合，保留定义更清晰的综述,autoresearch-ai-survey,https://arxiv.org/abs/2605.18661,2026-08-09,跨路线去重与饱和筛选
autoresearch-rl,AutoResearch-RL,候补,衍生自同一单基准循环，尚无独立迁移证据,karpathy-autoresearch,https://arxiv.org/abs/2603.07300,2026-08-09,跨路线去重与饱和筛选
third-party-autoresearch,第三方 autoresearch 复刻与技能,范围外,品牌重合或工程封装，缺少独立科学评价,karpathy-autoresearch,https://github.com/davebcn87/pi-autoresearch,2026-08-09,跨路线去重与饱和筛选
autolabs-2026,AutoLabs,饱和排除,没有形成新一级路线，机制增量由 Coscientist 与安全基准覆盖,coscientist-chemistry,https://www.nature.com/articles/s41598-026-45593-z,2026-08-09,跨路线去重与饱和筛选
xray-scientist-2026,Agentic AI X-ray scientist,饱和排除,仪器操作案例未改变实体实验路线定义,coscientist-chemistry,https://www.nature.com/articles/s42256-026-01261-5,2026-08-09,跨路线去重与饱和筛选
agentic-sciml,AgenticSciML,饱和排除,与专长代理和领域数字闭环机制重合,specialist-autoresearch,https://www.nature.com/articles/s44387-026-00102-5,2026-08-09,跨路线去重与饱和筛选
distributed-sdl,Dynamic knowledge graph for distributed self-driving labs,候补,重要基础设施但没有新增能力证据,a-lab,https://www.nature.com/articles/s41467-023-44599-9,2026-08-09,跨路线去重与饱和筛选
safe-sdl-perspective,Steering towards safe self-driving laboratories,代表性折叠,安全观点由实证 LabSafety Bench 与通用风险框架共同覆盖,labsafety-bench,https://www.nature.com/articles/s41570-025-00747-x,2026-08-09,跨路线去重与饱和筛选
automatic-review-faulty-reasoning,Automatic Reviewers Fail to Detect Faulty Reasoning in Research Papers: A New Counterfactual Evaluation Framework,纳入,独立受控反证直接改变自动评审可信度判断,automatic-review-faulty-reasoning,https://aclanthology.org/2026.tacl-1.22/,2026-08-09,独立发布审计发现；核验 TACL 正式全文第 4 节、第 6.2 节、图 3–5 和附录表 5。
