claim_id,claim_text,paper_id,evidence_location,V,D,P,Q,audit_status,notes
C001,正式论文报告，普通 GPT-4 想法的技术深度和新颖性偏低，显式检索与新颖性优化只能部分缓解。,scimon,"ACL 正式 PDF §3.1–§4.2、Table 2–3，论文页 282–286：检索、生成、迭代新颖性优化与专家人工评价",V3,D2,P2,Q2,已核验,限制：评价主要依赖自动指标和人工判断，尚未执行候选实验。；研究构想只是科研闭环的起点，不能据此声称完成发现。
C002,大模型想法的新颖性评分显著高于人类专家（p<0.05），但可行性略弱。,llm-novel-ideas,"ICLR 正式 PDF §5 与 Table 5，pp.7–8：三种统计检验及新颖性、可行性和总体评分",V3,D2,P2,Q3,已核验,限制：研究限定在自然语言处理构想，未验证想法经实验后是否成立。；盲评衡量感知质量，不等同于长期科学价值。
C003,正式论文报告跨学科实验，并以人类和模型评价支持清晰度、有效性和新颖性提升。,researchagent,"NAACL 2025 正式 PDF §4.3–§5、图 2–3 与表 1–3，论文页 6714–6717：人工及模型评价设计与结果",V3,D2,P2,Q2,已核验,限制：评审代理仍由同类大模型驱动，可能共享偏差。；没有执行全部候选实验，证据停留在方案质量。
C004,在所测开放式科研方案生成设置中，权威加权结构降低语义多样性，群体规模产生递减收益，保留独立生成和隔离子群的通信结构可缓解收敛。,diversity-collapse,"Findings of ACL 2026 正式 PDF §3–§5、图 2–10，论文页 254–257；跨模型与拓扑稳健性见附录 I–M",V3,D2,P2,Q2,已核验,限制：开放式构想指标不能直接代表科学价值。；结论依赖所测模型和群体结构，不能外推所有协作设置。
C005,论文明确指出，当前集成管线仍普遍需要人工验证；自治程度依赖领域反馈和风险。,autoresearch-ai-survey,"arXiv:2605.23204 摘要与 §1：AutoResearch 工作流条件、人工验证需求及自治边界",V3,D1,P1,Q2,已核验,限制：这是作者提出的综述框架，不是系统能力的独立实验。；2026 年新预印本，分类仍可能随领域演化。
C006,正式摘要报告，在作者定义的简单生物医学案例中，自动模式约 80%–90% 可无重大错误地复现原结论。,data-to-paper,"NEJM AI 正式 DOI 页 Abstract 与 Results；作者全文 arXiv:2404.17605v1 pp.6–7：固定目标可靠性结果",V3,D2,P2,Q2,已核验,限制：研究新颖性有限，主要是回顾性复现带注释数据。；论文明确指出，任务复杂时人类协同对准确性与质量至关重要。
C007,"在 8 人共驾样本中，外部评审相对自主稿的质量、可靠性与总体平均分分别提高 0.75、0.48 和 0.58；论文未报告统计显著性。作者另按 2.33 美元对比约 15 美元估算成本低约 84%。",agent-laboratory,"Findings of EMNLP 2025 正式 PDF §4.2 与图 5，论文页 5982–5984：共驾评分；§6，论文页 5985–5986：跨系统成本估算",V3,D2,P2,Q2,已核验,限制：84% 不是同任务、同预算、同质量的随机对照；评价样本和任务以机器学习为主。；人类提供研究想法，系统不是独立问题发现者。
C008,"三篇投稿均在正式决定前撤回；其中一篇获 6、7、6 分，组织者判断若不撤回很可能被接收，但没有实际接收结果。",ai-scientist-nature,"Nature 正式 PDF Human evaluation results，pp.916–917；Methods—Ethics approval，PDF p.9：三篇稿件均在正式决定前撤回",V3,D2,P2,Q2,已核验,限制：评审分数和反事实判断不是正式接收；作者人工筛选投稿，系统仍有实现错误、弱论证和虚构引用。
C009,正式论文报告最强 Claude 3 Opus 代理在 13 项任务的平均成功率为 37.5%。,mlagentbench,ICML 正文实验结果：13 项任务、37.5%、旧任务 100% 与新任务 0%,V3,D2,P2,Q2,已核验,限制：时间污染与任务难度混杂；阈值成功不等同于原创研究或科学有效性。
C010,作者报告代码树搜索在自建 Weco-Kaggle 与 MLE-Bench 等评价上取得强结果。,aide-code-search,arXiv 正文的算法段、Weco-Kaggle 结果表与 MLE-Bench 表,V3,D2,P1,Q2,已核验,限制：预印本且主要比较依赖作者实现；标量得分优化不保证方法可解释或可迁移。
